AGYSUB,AGYSUBT
DNFE,FEDERAL ENERGY REGULATORY COMMISSION
EDEA,IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION
EDEC,OFFICE FOR CIVIL RIGHTS
EDED,"OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT"
EDEE,OFFICE OF THE UNDER SECRETARY
EDEF,OFFICE OF INSPECTOR GENERAL
EDEG,OFFICE OF THE GENERAL COUNSEL
EDEH,OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES
EDEI,OFFICE OF THE CHIEF INFORMATION OFFICER
EDEJ,OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS
EDEK,EDUCATION-OFFICE OF FINANCE AND OPERATIONS
EDEN,FEDERAL STUDENT AID
EDEO,OFFICE OF COMMUNICATIONS AND OUTREACH
EDEP,OFFICE OF POSTSECONDARY EDUCATION
EDER,INSTITUTE OF EDUCATION SCIENCES
EDES,OFFICE OF ELEMENTARY AND SECONDARY EDUCATION
EDET,OFFICE OF ENGLISH LANGUAGE ACQUISITION
EDEV,"OFFICE OF CAREER, TECHNICAL, AND ADULT EDUCATION"
EDEZ,NATIONAL ASSESSMENT GOVERNING BOARD
HE10,OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES
HE11,PROGRAM SUPPORT CENTER
HE12,ADMINISTRATION FOR COMMUNITY LIVING
HE13,OFFICE OF INSPECTOR GENERAL
HE31,OFFICE OF THE ASSISTANT SECRETARY FOR HEALTH
HE32,SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION
HE33,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY
HE34,HEALTH RESOURCES AND SERVICES ADMINISTRATION
HE35,AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY
HE36,FOOD AND DRUG ADMINISTRATION
HE37,INDIAN HEALTH SERVICE
HE38,NATIONAL INSTITUTES OF HEALTH
HE39,CENTERS FOR DISEASE CONTROL AND PREVENTION
HE50,OFFICE OF MEDICARE HEARINGS AND APPEALS
HE70,CENTERS FOR MEDICARE & MEDICAID SERVICES
HE90,ADMINISTRATION FOR CHILDREN AND FAMILIES
HSAA,DHS HEADQUARTERS
HSAB,CITIZENSHIP AND IMMIGRATION SERVICES
HSAC,U.S. COAST GUARD
HSAD,U.S. SECRET SERVICE
HSAE,OFFICE OF THE INSPECTOR GENERAL
HSBB,IMMIGRATION AND CUSTOMS ENFORCEMENT
HSBC,TRANSPORTATION SECURITY ADMINISTRATION
HSBD,CUSTOMS AND BORDER PROTECTION
HSBE,FEDERAL LAW ENFORCEMENT TRAINING CENTERS
HSCA,CYBERSECURITY AND INFRASTRUCTURE SECURITY AGENCY
HSCB,FEDERAL EMERGENCY MANAGEMENT AGENCY
HSDA,DOMESTIC NUCLEAR DETECTION OFFICE
HSFA,SCIENCE AND TECHNOLOGY DIRECTORATE
HU01,OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND
HU02,OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY
HU03,OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC
HU04,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN
HU05,OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST
HU06,OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST
HU07,OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS
HU08,OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS
HU09,OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII
HU10,OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA
HUAA,OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT
HUBB,OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER
HUCC,OFFICE OF GENERAL COUNSEL
HUDD,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT
HUEE,ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY
HUFF,OFFICE OF THE CHIEF FINANCIAL OFFICER
HUGG,OFFICE OF INSPECTOR GENERAL
HUJJ,ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS
HUKA,CENTER FOR FAITH-BASED AND COMMUNITY INITIATIVES
HUKK,OFFICE OF FIELD POLICY AND MANAGEMENT
HULL,OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL
HUMM,ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER
HUNN,OFFICE OF THE CHIEF PROCUREMENT OFFICER
HUPP,ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING
HUQQ,OFFICE OF THE CHIEF INFORMATION OFFICER
HURR,ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH
HUTT,GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE)
HUUU,OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY
HUWW,ASSISTANT SECRETARY FOR PUBLIC AFFAIRS
HUXX,OFFICE OF STRATEGIC PLANNING AND MANAGEMENT
IN01,OFFICE OF THE SECRETARY OF THE INTERIOR
IN05,BUREAU OF LAND MANAGEMENT
IN06,INDIAN AFFAIRS
IN07,BUREAU OF RECLAMATION
IN08,GEOLOGICAL SURVEY
IN10,NATIONAL PARK SERVICE
IN15,U.S. FISH AND WILDLIFE SERVICE
IN21,OFFICE OF THE SOLICITOR
IN22,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT"
IN24,OFFICE OF THE INSPECTOR GENERAL
IN26,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT
IN27,BUREAU OF OCEAN ENERGY MANAGEMENT
IN28,BUREAU OF INDIAN EDUCATION
IN29,BUREAU OF TRUST FUNDS ADMINISTRATION
NV11,IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS
NV12,"DIRECTORATE FOR ADMINISTRATIONS, LOGISTICS, AND OPERATIONS (DALO)"
NV14,OFFICE OF NAVAL RESEARCH
NV15,NAVAL INTELLIGENCE COMMAND
NV18,NAVAL MEDICAL COMMAND
NV19,NAVAL AIR SYSTEMS COMMAND
NV22,BUREAU OF NAVAL PERSONNEL
NV23,NAVAL SUPPLY SYSTEMS COMMAND
NV24,NAVAL SEA SYSTEMS COMMAND
NV25,NAVAL FACILITIES ENGINEERING COMMAND
NV27,U.S. MARINE CORPS
NV30,STRATEGIC SYSTEMS PROGRAMS (SSP)
NV39,"COMMANDER, NAVAL INFORMATION WARFARE SYSTEMS COMMAND (NAVWARSYSCOM)"
NV41,NAVY SYSTEMS MANAGEMENT ACTIVITY
NV52,"COMMANDER, NAVY INSTALLATIONS"
NV60,UNITED STATES FLEET FORCES COMMAND
NV70,"U.S. PACIFIC FLEET, COMMANDER IN CHIEF"
NV72,NAVY RESERVE FORCE
NV74,NAVAL SPECIAL WARFARE COMMAND
NV76,NAVAL EDUCATION AND TRAINING COMMAND
ST00,DEPARTMENT OF STATE
TD01,OFFICE OF THE SECRETARY OF TRANSPORTATION
TD03,FEDERAL AVIATION ADMINISTRATION
TD04,FEDERAL HIGHWAY ADMINISTRATION
TD05,FEDERAL RAILROAD ADMINISTRATION
TD06,GREAT LAKES SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION
TD09,FEDERAL TRANSIT ADMINISTRATION
TD10,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION
TD12,OFFICE OF INSPECTOR GENERAL
TD13,MARITIME ADMINISTRATION
TD16,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION
TD17,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION
TR36,SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSETS RELIEF PROGRAM (TARP)
TR40,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU
TR91,DEPARTMENTAL OFFICES
TR93,INTERNAL REVENUE SERVICE
TR95,OFFICE OF INSPECTOR GENERAL
TRAD,U.S. MINT
TRAF,FINANCIAL CRIMES ENFORCEMENT NETWORK
TRAI,BUREAU OF ENGRAVING AND PRINTING
TRAJ,OFFICE OF THE COMPTROLLER OF THE CURRENCY
TRFD,BUREAU OF THE FISCAL SERVICE
TRTG,OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION
VA**,UNSPECIFIED
VAAA,OFFICE OF THE SECRETARY
VAAD,BOARD OF VETERANS APPEALS
VAAE,GENERAL COUNSEL
VAAF,INSPECTOR GENERAL
VAAI,ELECTRONIC HEALTH RECORD MODERNIZATION
VABA,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR HUMAN RESOURCES AND ADMINISTRATION
VABC,CHIEF HUMAN CAPITAL OFFICER
VABD,ASSISTANT SECRETARY FOR DIVERSITY & INCLUSION
VABE,DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION
VABF,DEPUTY ASSISTANT SECRETARY FOR OFFICE OF RESOLUTION MANAGEMENT
VABG,DEPUTY ASSISTANT SECRETARY FOR CORPORATE SENIOR EXECUTIVE MANAGEMENT
VABH,DEPUTY ASSISTANT SECRETARY FOR LABOR MANAGEMENT RELATIONS
VABK,OFFICE OF ENTERPRISE OPERATIONS
VADA,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR MANAGEMENT
VADC,DEPUTY ASSISTANT SECRETARY FOR BUDGET
VADD,DEPUTY ASSISTANT SECRETARY FOR FINANCE
VADG,"EXECUTIVE DIRECTOR, OFFICE OF ACQUISITION AND LOGISTICS"
VAEA,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY
VAEB,DEPUTY ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY
VAGA,"IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR OPERATIONS, SECURITY, AND PREPAREDNESS"
VAGB,EXECUTIVE DIRECTOR FOR SECURITY AND LAW ENFORCEMENT
VAGC,DEP ASST SEC FOR EMERGENCY MGT & RESILIENCE
VAGD,"EXECUTIVE DIRECTOR FOR IDENTITY, CREDENTIAL, AND ACCESSMANAGEMENT"
VAHA,OFFICE OF ENTERPRISE INTEGRATION
VAHG,VET CUSTOMER EXPER (VCE)
VAJA,OFFICE OF THE ASSISTANT SECRETARY FOR PUBLIC AND INTERGOVERNMENTAL AFFAIRS
VAJB,DEPUTY ASSISTANCE SECRETARY FOR INTERGOVERNMENTAL AFFAIRS
VAJC,DEPUTY ASSISTANT SECRETARY FOR PUBLIC AFFAIRS
VAKA,IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR CONGRESSIONAL AND LEGISLATIVE AFFAIRS
VAKB,DEPUTY ASSISTANT SECRETARY FOR CONGRESSIONAL AFFAIRS
VALA,VETERANS BENEFITS ADMINISTRATION
VAPA,NATIONAL CEMETERY ADMINISTRATION
VATA,VETERANS HEALTH ADMINISTRATION
AM00,U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT
CU00,NATIONAL CREDIT UNION ADMINISTRATION
EE00,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION
EP00,ENVIRONMENTAL PROTECTION AGENCY
FC00,FEDERAL COMMUNICATIONS COMMISSION
FD00,FEDERAL DEPOSIT INSURANCE CORPORATION
FQ01,OFFICE OF THE DIRECTOR
FQ02,PRETRIAL SERVICES AGENCY
FRFT,BUREAU OF CONSUMER FINANCIAL PROTECTION
FT00,FEDERAL TRADE COMMISSION
GS01,IMMEDIATE OFFICE OF THE ADMINISTRATOR
GS02,OFFICE OF ADMINISTRATIVE SERVICES
GS03,PUBLIC BUILDINGS SERVICE
GS04,OFFICE OF CIVIL RIGHTS
GS10,OFFICE OF SMALL BUSINESS UTILIZATION
GS11,OFFICE OF THE CHIEF FINANCIAL OFFICER
GS12,OFFICE OF GENERAL COUNSEL
GS13,CIVILIAN BOARD OF CONTRACT APPEALS
GS14,OFFICE OF THE HUMAN RESOURCES MANAGEMENT
GS15,OFFICE OF INSPECTOR GENERAL
GS20,OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS
GS22,OFFICES OF THE REGIONAL ADMINISTRATORS
GS26,OFFICE OF GOVERNMENTWIDE POLICY
GS28,OFFICE OF GSA IT
GS30,FEDERAL ACQUISITION SERVICE
GS31,OFFICE OF MISSION ASSURANCE
GS32,OFFICE OF STRATEGIC COMMUNICATION
GS33,OFFICE OF THE CUSTOMER EXPERIENCE
IB00,U.S. AGENCY FOR GLOBAL MEDIA
LP00,GOVERNMENT PRINTING OFFICE
NF00,NATIONAL SCIENCE FOUNDATION
NL00,NATIONAL LABOR RELATIONS BOARD
NN10,"HEADQUARTERS, NASA"
NN21,AMES RESEARCH CENTER
NN22,JOHN GLENN RESEARCH CENTER AT LEWIS FIELD
NN23,LANGLEY RESEARCH CENTER
NN24,NEIL A. ARMSTRONG FLIGHT RESEARCH CENTER
NN51,GODDARD SPACE FLIGHT CENTER
NN62,GEORGE C. MARSHALL SPACE FLIGHT CENTER
NN64,JOHN C. STENNIS SPACE CENTER
NN72,LYNDON B. JOHNSON SPACE CENTER
NN76,JOHN F. KENNEDY SPACE CENTER
NQ00,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION
NU00,NUCLEAR REGULATORY COMMISSION
OM00,OFFICE OF PERSONNEL MANAGEMENT
SB00,SMALL BUSINESS ADMINISTRATION
SE00,SECURITIES AND EXCHANGE COMMISSION
SM01,NATIONAL GALLERY OF ART
SM02,WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS
SM03,SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES)
SM04,JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS
SZ00,SOCIAL SECURITY ADMINISTRATION
AH01,NATIONAL ENDOWMENT FOR THE ARTS
AH02,NATIONAL ENDOWMENT FOR THE HUMANITIES
AH03,INSTITUTE OF MUSEUM AND LIBRARY SERVICES
AU00,FEDERAL LABOR RELATIONS AUTHORITY
BD00,MERIT SYSTEMS PROTECTION BOARD
BF00,DEFENSE NUCLEAR FACILITIES SAFETY BOARD
BG00,PENSION BENEFIT GUARANTY CORPORATION
BO00,OFFICE OF MANAGEMENT AND BUDGET
CT00,COMMODITY FUTURES TRADING COMMISSION
EB00,EXPORT-IMPORT BANK OF THE UNITED STATES
EC00,OFFICE OF ADMINISTRATION
FL00,FARM CREDIT ADMINISTRATION
FM00,FEDERAL MEDIATION AND CONCILIATION SERVICE
FW00,OFFICE OF SPECIAL COUNSEL
GB00,INTERNATIONAL DEVELOPMENT FINANCE CORPORATION
